n,k,t,Time_SDP_sec,Time_ESD_sec
10,5,2,0.006266770001578455,0.0005622973306647813
12,6,2,0.007714151332038455,0.0005851246629996846
14,7,2,0.011583555994244913,0.0008220516707903395
16,8,3,0.011459412669258503,0.0013461763349672158
18,9,3,0.013065618996430809,0.001658809002644072
20,10,4,0.01668621166997279,0.008653341006720439
22,11,4,0.016838422665993374,0.010299168662944188
24,12,4,0.035068924000370316,0.028963124660852674
26,13,5,0.07032821799900073,0.20941077566628033
28,14,5,0.10013446033311386,0.25443092499820824
30,15,6,0.1691537813312607,1.5668758196746542
